Words,BFSConcepts,GoldRiddle,GenRiddle
pie chart,[],I am a delicious way of representing data.  What am I?,"

I'm round and colorful, but not to eat
With sections and angles, I'm quite neat
I display data in a visual way
Can you guess my name, if I may say?"
dark,"['black', 'glowering']","I am everywhere. You can't see me, but I can see you.   What am I?","

I am the absence of light
But I come out at night
Often feared and called black
But energy I do not lack"
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']","I am a winner and a loser.I can be warm, or cold.Dizziness is a common condition of mine.Handy or an annoyance? You decide.Rarely around when you need me. What am I?","

I am made of metal, I am worth some change,
I come in different values, but always in range,
I am round and shiny, often with a face,
Keep me safe and sound, in the right place.
What am I?"
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']","A very pretty thing am I, fluttering in the pale-blue sky. Delicate, fragile on the wing, indeed I am a pretty thing. What am I?","
Flying in the garden 
Wings so colorful and bright 
With each graceful flutter 
I am a symbol of delight 
My life begins as a caterpillar 
Eating leaves to grow 
But soon I'll transform 
Into something you'll want to know 
An insect, lepidopterous too 
I am admired by many 
With my delicate wings 
I flutter gracefully plenty 
So tell me, my dear 
Can you lend an eye? 
And guess what I am 
Before I pass on by?"
soap,"['bar', 'bubbles', 'a swimming pool', 'bubble']","My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?","
I am used for cleaning, but I am not a mop,
I come in a bar, not a bottle that you pop,
My purpose is to clean something that's been used,
But don't forget to use me when you wash yourself fused."
coffin,"['a box', 'a coffin', 'a funeral', 'casket', 'cemetery', 'grave']",The man that builds it doesnt use it. The man that needs it doesnt know it. The man that wants it doesnt sell it. What is it?,"

I am a sealed box of sorrow,
A final resting place to borrow.
At a funeral, I am the main attraction,
Housing the dearly departed's reaction.
Some may call me a casket, some may say a coffin,
But I hold the same purpose, no matter the soften.
What am I, this box of dark,
That carries the departed on their final embark?"
pattern,"['a pattern', 'exemplar']",I can be simple or I can be complex.  I can be found in this riddle or in everyday life.  I can be shapes or even colors.  What am I?,"

I come every day, without fail
Some may curse, some may hail
Colors and lines, I do display
Following me, is the way

On the roads, I am found
With cars and trucks all around
A predictable path, you can see
In the flow of traffic, I will be

Without me, chaos reigns
But with me, order maintains
Do you know, what I represent?
I am the traffic pattern, so content."
donkey,['domestic ass'],I am the key that is the hardest to turn. What am I?,"

I am a domestic ass, tamed and mild
My mighty bray can be heard from a mile
I may seem simple, but I am wise
And often seen with two big brown eyes

In ancient cultures, I was an emblem
A symbol of strength, courage, and freedom
My back is stooped, but my heart is strong
Pulling loads all day, I am never wrong

My coat may be gray, or maybe brown
But my loyalty never wears down
Some use me for work, others for fun
But my purpose is clear, always getting things done

In logos and designs, you"
moon,"['Moon', 'a sphere', 'earth', 'orbit around the earth', 'satellite', 'orbit']","I am strongest when you see me as round, but I am often viewed in other forms. I lift and drop the sea with my tremendous strength, and a man with a name like ""powerful bicep"" was the first to tread on me. What am I?","
I am a celestial body that shines so bright,
In the dark night sky, I am a glowing sight.
I revolve around the Earth, ever so soon,
Known to many as the ruler of the tides, I am the mighty ____."
whales,"['acute hearing', 'bones', 'form pods', 'large marine mammals', 'mammals just like people', 'mammals without legs', 'marine mammals', ""n't fish"", 'poor vision', 'sophisticated in their use of acoustics', 'swim', 'the ocean', 'very large', 'very large mammals', 'very large marine mamals', 'whale', 'a marine mammal', 'a whale', 'hunt']","I come in many colors, some are blue and white. While some people annoy me, I am not much for the fight. I live where people rarely tread, but you will find me close to bed. What am I?","
In the vast ocean they swim, 
Gentle giants with a fin, 
Beneath the surface, they roam, 
With bones that form their home. 

Their size is larger than most, 
In the water, they are the host, 
With hearing that's beyond compare, 
They sense every sound in the air. 

Some may mistake them for fish, 
But their true identity we'll cherish, 
For these creatures are so rare, 
With their melodious songs in the air. 

So tell me, can you unravel 
The riddle of these ocean marvels? 
For they are the"
toaster,"['a machine', 'bread', 'brown toast', 'kitchen appliance', 'supporter', 'advocate']","I have a short, wide body. It is cold and shiny. My insides are hot as flame. I have two mouths. My tail is long and forked. What am I?","

I am a supporter of breakfast,
With me, you'll never be bereft.
I turn bread into perfect brown,
A staple for food, I'll never frown.
But don't look for me in the sky,
For I am only found nearby.
What am I, you may inquire?
A simple kitchen appliance, a true pal on the wire."
headlights,"['headlight', 'far']","I cast light upon darkness, I help guide you through the night. The flick of a switch, helps stop you falling in a ditch. What am I?","

I shine bright for all to see,
Guiding you through the darkness with glee.
My beams reach far, so you can steer,
No worries of getting lost, never fear.
I'm always there, when you're out at night,
Ensuring you reach your destination alright.
What am I, this shining light?
A necessary tool for safe travels in sight."
hour,"['an hour', 'clock', 'a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']",They seem so long but theres only 24  Close to death is when you want more.    What is it?,"

I am made up of sixty minutes,
And I am a unit of time.
Each day I change with the minutes,
Yet somehow, I still seem to rhyme.

You'll find me on the clock's face,
A symbol of passing time.
I can be short or long,
But never out of line.

In an hour, how many minutes?
Sixty, you must say.
I am the key to measuring time,
Can you guess me today?"
A hummingbird,[],"As small as your thumb, I am light in the air. You may hear me before you see me, but trust that I'm here. What am I?","

I dart through the sky with graceful ease,
My wings a blur, I am hard to seize.
I sip nectar from flowers bright,
A tiny jewel in mid-flight. 
What am I? A hummingbird in sight.
"
snowflake,"['crystal', 'component']","White bird, featherless, flying out o' paradise, flying over sea and land, dying in my hand. What is it?","
I am born from the winter's chill,
A unique design, never still.
In Snijegulja, I am called,
But in the snow, I am enthralled.

My shape so delicate and pure,
Falling softly, I allure.
Covering everything in sight,
But in pahuljica, I take flight.

What am I? A white delight,
In the winter, a wondrous sight.
But one touch and I disappear,
Snowflake, fragile and sincere."
Mince,[],"When you add meat to me, I become vegetarian. What am I?","

I am a food, often made of beef
My name means to cut finely with a knife, that's key
I'm used in dishes all over the world
Some may call me small, but I'm a flavor giant unfurled
What am I?"
youth,"['maturity', 'adulthood']","I am desired by all people, especially men. Once I pass, you can never have me again. What am I?","
I am full of energy and zeal,
But not quite grown, not yet revealed.
I'm free of wrinkles, smooth and sleek,
My strength is in my youthful peak.

What am I? 
 "
white blood cell,[],"I am called white.  My duty is to protect and destroy.  All it takes is a sneeze and i will destroy. . .  at the sign of a cut, i will come to protect.  I will fight to my death. . .  no matter how insignificant it may be.  I am very helpful yet you can't see me.  What am i?","

I am small but mighty,
Always fighting strong,
In your body I reside,
Protecting you from all wrong."
wind,"['air', 'air in motion', 'be blowing hard', 'blow to the East', 'blows', 'blow']","You can feel me but, I can't feel you. I can uproot trees and tear roofs off their houses. Yet, I can make a Baby sleep and be gentle. I can howl and whisper. I can spread and stop fires. I can toss boats and help them glide too. What am I?","

I travel fast without a sound,
But can pick up speed when I'm around.
I can be fierce or gently sway,
And help the birds fly away.

My direction is always true,
For I only blow to the East, it's what I do.
I am a force, yet gentle at times,
A cool breeze in the warm sunshine.

I am the breath of the earth,
A natural cycle since its birth.
Without me, life would be still,
For I am the wind, with great skill.
 
What am I? The answer is wind."
fruit,"['a better snack than candy', 'a fruit', 'a good source of vitamins', 'a market', 'a tree', 'eaten', 'be eaten']","My first is in fish but not in snail,  My second is in rabbit but not in tail.   My third is in up but not in down,  My fourth is in tiara but not in crown.   My fifth is in tree you plainly see,  My whole a food for you and me.   What am I?","

I can be sliced, diced, or peeled with ease,
My juicy insides will surely please.
I'm good for you, a source of delight,
Filled with vitamins and oh so right.
My colors are many, my flavors too,
For a healthy snack, I'm the perfect view.
What am I, you ask? It's a no-brainer,
I'm a word that rhymes with ""cute"" and is also a sustainer."
pass,"['football', 'throw']","In operating, a cycle. In duelling, a thrust. In playing, a throw. In bidding, a decline. In a bar, a try. In racing, a move. In scaling, a way.  QUESTION: What is it?","

I am often thrown in a game,
But rarely catch or gain fame.
I am part of a sport that's grand,
But in football, I cannot stand. 
What am I, can you make a guess? 
I'm just a ball that the players pass."
death,"['Death', 'a war', 'bring sorrow', 'inevitable']","I am what most people fear, I can strike without warning for I cannot be stopped. Everyday I do things to people that rip apart the hearts of their loved ones. What am I?","

In life, I am always near
In a war, my presence brings fear
I bring sorrow, when loved ones depart
For in my grasp, they must depart
I am finite, never to relent
Can you guess my name, before I am sent?"
penguin,"['manchot', 'penguen', 'pingouin']","Always well dressed, but I never fly. Black and white, sometimes in a tie. I swim and slide, and dance and glide, With one person by my side. What am I?","

I am a bird that may seem black and white,
But in Spanish I'm called ""pingüino"" in sight.
Some say I waddle like a cute little duck,
But in Turkish, ""penguen"" is what they call me, with luck.
My home is in the cold and icy land,
Where I slide and swim with my fellow band.
What am I, with names that may vary?
I am a penguin, both penguen and pingüino, can you carry?"
Santa,[],I make a list and check it twice. I will give you coal if naughty and presents or candy if nice. Who am I?,"

I come once a year, dressed in red and white.
I bring gifts and joy all through the night.
Children love me, with their wish lists so long.
But who am I, singing my ho-ho-ho song?"
youtube,"['Q866', 'YouTube', 'online', 'something', 'the world wide web', 'upload', 'you']","I am king of knowledge , also the king of madness  Who am i ?","

I am something you can watch,
A source of endless content,
With channels big and small,
My reach knows no extent.

From makeup to gaming,
I have it all in store,
My name is also my brand,
I am YouTube, forevermore."
pumpkin,"['squash', 'vegetable']","In September, you pick me when I'm good and ready. In October, you cut me intentionally to make me look worse. In November, you trash me like you never knew me. What am I?","
I am a symbol of autumn's arrival,
With orange skin and a stem that's vital.
In Italian, I'm known as ""zucca"",
A versatile vegetable, you're free to pluck-a.
Whether in soup or pie, I'm a tasty treat,
But beware of the tricksters, on Halloween, I'm sweet."
barometer,[],It hangs on the wall and falls on the same time. What is it?,"

I am often round but rarely square,
I measure the air, beware!
My needle points, up or down,
To forecast if rain or sun'll be around.
What am I, can you tell,
A scientific tool, not a spell?
I reveal the weather, not your fate,
If you guessed barometer, you are great!"
gun,"['a gun', 'barrel', 'a barrel']","Long and slinky like a trout, never sings till its guts come out.  What is it?","

I am an object with a deadly aim, 
Used to take a life and cause great pain. 
Considered a weapon, feared by many, 
My loud bang can make anyone tremble aplenty. 
I am used to shoot things, not for fun, 
My purpose is to kill, and get it done. 
What am I? Just a simple three-letter word, 
But with my power, I can make even the bravest stirred."
clouds,"['bring rain', 'cloud the sky', 'cover the sun', 'fluffy', 'often in the sky', 'rain on the earth', 'rain on you', 'rain raindrops', 'rain water', 'the air', 'the clouds', 'the sky', 'usually in the sky']",I FLY BUT HAVE NO WINGS .  I CRY BUT HAVE NO TEARS.  I SEE DARKNESS COME UP ON THE WORLD .  WHAT AM I,"

What is it that holds the stormy rain water,
But can also pour it down on you?
Up in the sky, it drifts and glowers,
As water vapor, it's not a mere view."
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']","With the rich I am blue, with the poor I am red, with the amphibian I am cold but with the dog I am hot instead, what am I?","

I am red and flow like a river,
Through your body, I'm a giver.
Coursing through your veins with ease,
Just a simple liquid, if you please."
bath towel,[],Soft As A Petal That Falls Form A Tree.   The More I Dry The Wetter I'll Be.    What Am I? :) :),"
I'm soft and fluffy, but not a pet
Used to dry off, but never get wet
Folded or hung, no matter how you drape
I can make you feel fresh, with just one shake
What am I, this item so useful?
Found in your bathroom, I'm a _____________."
kangaroo,"['Australia', 'jump', 'jump fences', 'jump high', 'klokan']",I stand when I am sitting and I jump when I am walking. What am I?,"

I'm an Australian native, from down under I roam
My pouch might confuse you, but I call it home
My legs are strong, I jump oh so high
But on Marsupial's list, I'm not the only guy
So if you can unscramble, my name's not too far
I'm a Tobolčar's cousin, I am the mighty... kangaroo!"
piano,"['88 keys', 'a concert', 'a concert hall', 'an instrument of music', 'instrument', 'keys', 'music', 'percussion instrument', 'performing music']",I am black and white. I have strings I have keys. I make sound without my lips. I make dough with no flour. What am I?,"

I am an instrument of music,
Often found in a concert hall,
My keys are played with skill and touch,
In performing music, I stand tall.

Some may think I'm a percussion instrument,
But my strings create melodies,
My name means ""soft"" in Italian,
Classical, jazz, or blues, I can please."
silence,['quiet'],No sooner spoken than broken. What is it?,"

In the library, it is found,
A place of knowledge, with books so profound.
But what makes it such a peaceful scene?
It's the absence of noise, the lack of routine.

In this sacred place, you must abide,
To keep your voice low, to silence your pride.
For if you disturb the quiet that reigns,
You'll bring upon yourself some librarian pains.

But silence can mean more than just hush,
It can also be loud, like a library crush.
When the pages turn faster, the whispers get bold,
That's when you know, silence can't be controlled."
adrenaline,"['adrenalin', 'a synthesized version of epinephrine', 'adrénaline', 'biochimie', 'commonly', 'epinephrine', 'médicaments']","I am important at the most dangerous times. I can not be seen, heard, or smelled. If you use me too much you would fatally die. What am I?","

I am often called by different names,
Epinephrine, adrenalin, адреналин, all the same.
I'm a hormone that can make your heart race,
A vasoconstrictor, I'll put you in a tense space.
A rush of me can give you a jolt of energy,
But too much of me and you'll feel queasy. 
What am I?"
brain,"['a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']",I am the only organ in the human body that gave itself it's own name. What am I?,"

I am the master of your thoughts,
A powerful organ, I can't be bought.
I reside within your skull,
Controlling your every move, big or small.
I am essential to your mind,
Critical thinking, without me, you'd be blind.
What am I, that controls your reign?
A vital part of your body, I am the brain."
shirt,"['an item of clothing', 'closet', 'majica', 'wearing']","You enter one hole and leave three, once you succeed I'm on thee? What am I?","

In the closet I hang, an item of clothing I am,
On your upper body I'm worn, a staple for every man and woman.
Without me, your outfit would be incomplete,
Yet sometimes I can make you feel the heat.
What am I? "
snake,"['Hydra', 'Snake', 'The Amazon', 'a cage', 'a ditch', 'a feild', 'a field', 'a garden', 'a hole in the ground', 'a tropical forest', 'creeks', 'Creeks', 'creek', 'pet shops']",I am made of sugar and soda but you shouldnt eat me. I hiss and slither but I cannot eat you. What am I?,"

In ""the Bible"" I am said to be cursed,
Found in ""a garden"" but also ""a field"" dispersed,
I slither and hiss, with scales ever so slick,
Some may fear me, but others may pick.

What am I? A ""snake"" is my name,
In both holy scripture and earthly terrain.
From the Garden of Eden to fields afar,
I am a creature found both near and far."
fire,"['a fireplace', 'burn houses', 'burn things', 'burning']","Touch this and you'll regret it. But if it's cold, you won't forget it. What is it?","

I am what you fear,
With flames I appear,
I'll consume all in my way,
But my touch you cannot bear.

I can turn objects to ash,
And leave only a flash,
I'm hot, I'm bright, I'm dire,
Can you guess my name, oh sire?"
father,"['dad', 'male', 'male parent', 'man', 'Man']",I am your mother's brother's only brother in law. Who am I?,"

I am a parent, strong and true
Protecting my family, through and through
I may go by ""dad"", or simply ""pop""
But my love for my children, will never stop

I am a male, a man of pride
My family's success, I will always guide
I am a father, in every sense of the word
My love for my children, cannot be deterred "
anchor,['hook'],when I am in am unuseful. When i am out I am useful.  what am I??,"

I am a tool with many names
From kotva to hook, I play all games
At the end of a line, I hold on tight
I catch fish in a fight
Without me, the ship may wander
But with my weight, it's steady as thunder
What am I, always at the ready?
The answer is simple, I am an ________."
ice,"['Antarctica', 'a drink', 'a solid', 'become water', 'carved']",I cannot be burned in fire or drowned in water. What am I?,"
I cool your drink but I am not a fan,
I'm solid and hard but can easily change my plan,
Frozen water is what I am,
A slippery surface, treat me with care if you can. 
What am I?"
sadly,['deplorably'],"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale, but I'm always ready to tell a tale. What am I?","

I am an adverb that describes emotions,
unhappily, happily, or jubilantly in motions.
When things don't go well, I'm often used,
to express sorrow and feeling bruised.
But I have two friends, with opposite glee,
they show joy and delight, unlike me.
One is jolly and full of cheer,
the other is merry and without any fear.
Together, we make a trio quite odd,
three little words, that may seem flawed.
But without me, the other two cannot be,
can you guess who my friends could be? "
fraction,['divide'],Always a part. Never a whole. If only half grows I shrink. What am I?,"

I am part of a whole,
But never the whole I am.
I represent a portion,
A slice or piece, not a gram.
What am I?"
stable,"['konjušarnica', 'lasting', 'long-lasting']","As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts. What am I?","

I am often filled with hubbub and noise,
But I keep things secure without any poise.
In stajnicas and štalas, I am always found,
The sound of my inhabitants is quite profound.
What am I, the provider of a steady fable?
In these places of chaos, I am stable."
car,"['a car', 'a car ', 'a car show', 'a freeway', 'a parking lot', 'automobile', 'a racetrack', 'a street', 'an automobile', 'auto']","I have a trunk, but I am not an elephant. My tail is silver but I am not a fish. I have one antenna.  What am I?","

In the busy city, it roams
In the parking lot, it calls home
A mode of transport, it will be
To go fast, is its destiny
What am I? A modern-day star, some believe
But without wheels, I can never leave. 
"
pupil,['the eye'],"Different lights make me strange,for each one my size will change.What am I?","
I am round and dark, yet I am not an orb.
I exist in many colors, but do not paint with a brush.
Found in the eye, I am the center of sight.
Without me, vision would be nothing, just blurred and sprite.
What am I?"
money,"['a bank', 'a pocket', 'a wallet', 'cash', 'another word for money', 'buy things with']","I'm hard as a rock, and as light as a feather. I'm passed on to one another. Poor people need me, and rich people have me. What am I?","

I am the root of all evil,
But I can make your dreams come true,
Found in a bank or in a wallet,
I am what drives humans to do what they do.
What am I?"
water wave,[],i am as long as well as short as possible  i move as fast as possible i am with my friends every where. who am i?,"

I'm not solid, I'm not gas
I rise and fall, a liquid mass
With a gentle push, I'll come your way
Can you guess what I am today?"
Easter Bunny,[],I hop around hiding eggs. What am I?,"

I hide eggs with joy, 
But when you see me, alas, you can't avoid 
Cute and fluffy, with a basket so handy 
Come and find me, the one and only _____"
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']","The songs she sings beneath bright moons Disturb my night's repose, But, oh, those whispery, rumbly tunes! She charms us all with those. You must come near and listen well To hear her rumble song. I've told enough so you should tell To whom these songs belong.What is it?","

I am small and furry, but not a mouse
I climb on your lap in search of a house
I prowl and pounce, my eyes so keen
But on the windowsill, I'm often seen
I snuggle on the bed, oh so snug and fat
Can you guess what I am? I am a ___.
"
hand,"['a pocket', 'appendage']","I can be one, I can be two. I can be Open, Closed, Empty or Full.  I can be Bare, but never a Bear.  What AM I??","

Soft and gentle, yet strong and able
Five helpful helpers, each one stable
Attached to the arm, they reach and grasp
A vital body part, to help you clasp

What am I, without me you couldn't write
Counting on my fingers, holding on tight
Nimble and dexterous, precise and grand
A word for me, you've got to understand. 

I am a part of you, yet have a life of my own
With each movement, my skills have grown
My touch is delicate, yet I can defend
A valuable limb, from beginning to end. 

"
heart,"['a human body', 'a muscle', 'a pump for blood', 'pumping blood']","If you break me, I'll not stop working.    If you can touch me, my work is done.    If you lose me, you must find me with a ring soon after.    What am I?","

I am a powerful muscle, beating strong and true,
In the depths of your chest, I work for you.
I pump blood throughout your body, day and night,
Keeping you alive with all of my might.
Without me, your body could not live or breathe,
So take care of me, I'm your most vital part beneath. 
What am I?"
elephant,"['Africa', 'a circus', 'a trunk', 'a zoo', 'elephante', 'pachyderm', 'pachiderma']","At my hind there is a rope.On my head a fan, Beside my mouth are two sharp spears.And my tree-legs are rough on your hands. Beside all this is one great wall.A snake adorns my head at all.times, and it is part of me.And it will always be. What am I?","

In the circus, it's known to clown
But in Africa, it roams freely around
With a long trunk and ivory tusks
This majestic animal, known as the ____"
hang glider,[],"My first completes a man formed by a word not spelled.My second's not still nor mechanically propelled.With my whole, a wondrous bird's-eye view is beheld. What am I?","

I soar through the sky without any motor,
What am I called, it's not an easy solver,
With wings like a bird but no feathers to glide,
I'll take you up high, come along for the ride.
What am I, can you take a wild guess?
I'm a flying machine, my name is ________."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","What force and strength cannot get through, I with a gentle touch can do. And many in the street would stand, were I not a friend at hand.  What am I?","
I am small but mighty, 
I can open a lock with ease, 
In a door or a pocket, 
I am the one you need, 
What am I, can you tell? 
I am the key, unlocking spells."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']","You put me in dry but then I get wet. The longer I stay in, the stronger it will get.What am I?","

I am a special blend from all around,
My home is in different countries I've found.
Some call me teebeutel, others pouque à thée,
In Japan I go by 袋茶.

When it's time to take a break,
I'm the one that players will shake.
Filled with aromatic leaves,
I'm the secret that everyone believes.

Although small and unassuming,
My flavor is quite consuming.
So grab a cup and make it gagé,
Just remember to thank the teabag."
turtle,"['a hard shell', 'chelonian', '302703208-a', 'anapsid', 'chelonia']","A guy always in armor, But never been at war. Sleeps in armor, walks in armor. Slow he is, but heavy is the armor. No sword, no bow, spear. Who is it?","

I am slow and steady, yet I live a long time
With my hard shell, I weather every climb
Some call me a tortoise, others say I'm a turtle
But one thing's for sure, I'll never lose my sparkle"
Steps.,[],"The more of these you take, the more appear behind you.What am I?","

I lead you up but never down,
I keep your feet from touching the ground.
With each stride I take you higher,
But can't move without fire.
What am I?"
The sky.,[],"You can see it every day, But cannot touch it at will. What is it?","

My color always changes, But I never leave your sight. A canvas for the clouds, I am nature's ever-shifting light. What am I?"
Mahjong,[],Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?,"

I have tiles numbered and styled,
In a game that can be quite wild.
Matching and melding, my moves must be strong,
Can you solve the riddle of my name, Mahjong?"
human,"['China', 'a bus', 'a church', 'a park', 'a workplace', 'an automobile', 'five fingers on each hand', 'homes', 'bedrooms', 'a fraternity house', 'bedroom']",i have one voice.  when im young i walk n 4 when im older i walk on 2 when im young i walk on 3.  im slowest on 3 what am I?,"

In school we learn about this being,
With five on each hand, it's quite intriguing.
In homes and at work, they're a common sight,
An important part of life, day and night.
What am I describing, can you give a clue?
Think of hands and fingers, it's human, it's true."
barber.,[],"I cut hair every day, but my hair stays the same. Who am I?","

I give clean cuts and stylish trims,
But my work is not done with just a pair of snips.
My trusty tools help shape and mold,
As I turn messy hair into a sight to behold.
What am I, causing no harm or scar?
A skilled craftsman, I am known as the ________."
stapler,"['a desk', 'a desk drawer', 'a desktop', 'a stapler', 'an office building', 'attaching papers', 'double as a paperweight', 'machine', 'a machine', 'create electricity', 'crush ice', 'dispense popcorn', 'exercise muscles', 'filter']","With pointed fangs it sits in wait,  With piercing force its doles out fate,  Over bloodless victims proclaiming its might,  Eternally joining in a single bite.   What am I?","

I sit on a desk, but I'm not a computer
I'm used for attaching papers, but I'm not tape or glue
I have a metal jaw, but I'm not a vice
I have two arms, but I'm not a chair

What am I, this handy tool?
With a press of my top, I bring papers to rule
On a desktop, you'll often find my home
I'm the perfect partner for stapling papers that roam"
The shadows.,[],"Everywhere it lurks, unsettling men and unnerving children. In a house it visits, in a cave it dwells. One light can put it to flight and make it retreat. Yet you can never escape it, for it is always there. What is it?","

I am always there, but cannot be seen,
From my presence, you may want to flee.
Dark and elusive, you'll never know,
Who am I? I am The Shadows. "
A sail.,[],"You use me for my name, I'm not a breeze to tame, I'm fastest when I'm full and when it's cheap it sounds the same. You'll spot a nest near me (although I'm not a tree), the sea is fore, the sea is aft, it's all around, you see.  What am I?","

I can move without feet,
On a journey, I will meet,
I am white, but not a dove,
I am not a glove,
My shape is like a triangle,
Come and see my magical angle,
What am I, can you tell,
Oh, it's the secret of a ship's shell."
flower petals,[],"I open in the morning and close at night, at love I help decide. He Loves Me.He Loves Me Not.He Loves Me.He Loves Me Not.He Loves Me. What am I?","

I am delicate and thin,
But hold beauty within,
Many of me make a whole,
And I can adorn a wedding stroll.

What am I? "
breathe,"['be alive', 'exhale']","I'm lighter than a feather, but even the strongest man can only hold me for a short time. What am I?","

I am the rhythm of life,
In and out, I breathe without strife.
Without me, you cannot survive,
For every living being, I am their drive.

I start with an inhale, deep and slow,
My rhythm matches your heart's flow.
Then I come out with a gentle breeze,
As you exhale, my presence you please.

I am the essence of being alive,
Without me, you cannot thrive.
So take a deep breath and feel me inside,
For without me, you cannot reside.

What am I?"
A Cat!,[],"My first is in chocolate but not in ham, my second's in cake and also in jam, my third at tea-time is easily found, my whole is a friend who's often around. What am I?","

I can purr and I can scratch,
I climb and play without a match.
Some say I bring good luck,
But beware, I can also suck.
Who am I? 
"
time  i am time,[],"Forward and forward I go, never looking back.  My limit no one knows, more of me do they lack.  Like a river I do flow, and an eagle I fly.   Now can you guess, what am I?","

I never stop, but never move
I am measured, but cannot be proved
I am what you make of me
Without me, there would be no history
What am I?"
Elsa,[],First letter is e ends a what is it,"

I am a queen, with powers so grand
Icy magic is what I command
My name means pledged to God, you see
Now tell me, who am I meant to be?"
A birthday candle.,[],"When it's alive we sing, when it is dead we clap our hands. What is it?","

""I bring joy to the cake,
But don't make the flames too great.
Blow me out with delight,
And make a wish with all your might."" 
What am I?"
Your Mind.,[],Everyone has one but also can lose it. What is it?,"

I am within you, a place that's hard to define,
Where thoughts and ideas always intertwine.
I hold your memories, your dreams, and your fears,
But can you tell me, what word am I, my dear?"
Chili.,[],"I sound like I am very cold, but I am usually served quite warm...even hot. Another fact about me is that I am often quite hot. What am I?","

I am a type of pepper, spicy and red
Used in dishes, soups, and spreads
Some like me mild, others want heat
But my flavor always can't be beat
What am I, this ingredient so key
That starts with the letter C and ends with an I?"
cheat,['deceive'],"""If something is ""chintzy"", what is it?""","

I deceive and I lie 
I'll make you lose, I'll make you cry 
For I am a deed that's unfair and vile 
Using deceit to victimize with a smile 
What am I, this despicable cheat?
A manipulative force that you should defeat."
eureka moment,[],My first comes from a triumphant feeling expressed.My second is a time when one is at one's best.My whole's when a solution becomes manifest. What am I?,"

I am a sudden realization, a lightbulb in the mind
That sparks an idea, a solution you will find
With a cry of ""Eureka!"", your puzzle is solved
What am I, the moment when problems dissolve?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","As your ideas grow, I shrink. What am I?","

I am used to write something on paper,
In a drawer I often hide,
I may be found in a pencil-case,
And in a classroom, I reside.

What am I?"
candle,"['a birthday cake', 'decoration', 'award']",I get shorter the more I'm used but I'm not a pencil. I'm made of wax but I'm not a crayon. I can help you see in the dark but I'm not a flashlight. I'm often found on a birthday cake but I'm not icing. What am I?,"

I brighten up a room, 
On the table I may loom, 
A lamp without a flame, 
My wax cousin is my name."
particles,['particle'],"Physicists have built devices to move me very fast. My last seven letters can be commonly found in newspapers, magazines, and journals. What am I?","

I'm small but mighty, some call me a wave,
I'm everywhere around you, even in a cave.
Though I'm invisible, I make up all matter,
You can't see me with your eyes, but I'm not a ghostly scatter.
What am I? A collection of tiny articles.
Some call me atoms, others call me... (particles)."
life jacket,[],"Without my first, one would have nothing at all.My second may be worn in the spring or fall.My whole ensures water mishaps don't befall. What am I?","

It's made of foam and keeps you afloat,
In water deep, it's what you need to tote.
It's not a jacket for your everyday wear,
But wear it you must, if life you do care."
joke,[],You can crack me;  You can make me;  You can tell me;  You can play me.    What am I?,"

What's funny and makes you smile,
It may be old, yet never goes out of style,
It'll make you laugh 'til your sides are sore,
But don't take it seriously, it's just a _________."
thimble,"['cap', 'a cap']","An open-ended barrel, I am shaped like a hive. I am filled with the flesh, And the flesh is alive.  What am I?","

I help mend clothes with ease,
A small tool that many please,
My shape is round and oh so nimble,
Used for stitching and called a ________."
nose,"['a nose', 'body', 'a coffin', 'arms']","Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?","

I am a feature on your face,
But I'm not a mouth or chin in any case.
I have no eyes, yet I can smell,
And without me, your face may not be well.
What am I in this face of mine,
A small but important organ for sniffing time."
light switch.,[],"When I point up it's bright, but when I point down it's dark. What am I?","

I am often found upon the wall,
A simple flick and light will fall.
I may be up high, I may be low,
But one thing's for sure, I'm always in the flow. 
What am I? The answer's right at your fingertips,
Just give me a click, I am the ____________."
