starters,generated_riddles,reference_riddles
toaster,I am a type of tackle. I can be used to make ice cream. What am I?,"I have a short, wide body. It is cold and shiny. My insides are hot as flame. I have two mouths. My tail is long and forked. What am I?'
"
headlights,"I can be seen in a mirror, I have sex, but I'm not teddy bear. What am I?","I cast light upon darkness, I help guide you through the night. The flick of a switch, helps stop you falling in a ditch. What am I?""
"
hour,I am a time of ten. I can be long or short. What am I?,"They seem so long but theres only 24  Close to death is when you want more.    What is it?'
"
A hummingbird,I am a bird that is spelled out in ten lines. I have horns and ear ties. What am I?,"As small as your thumb, I am light in the air. You may hear me before you see me, but trust that I'm here. What am I?""
"
snowflake,I am a bird that is shaped like sand. I can be seen in tinny places. What am I?,"White bird, featherless, flying out o' paradise, flying over sea and land, dying in my hand. What is it?""
"
Mince,I am a nut that is shaped like ice. I can be sliced or shaved. What am I?,"When you add meat to me, I become vegetarian. What am I?'
"
youth,I am a young person who is able to see and hear. I have ten legs but cannot walk. What am I?,"I am desired by all people, especially men. Once I pass, you can never have me again. What am I?'
"
white blood cell,"I am white, I have no eyes, but I can be seen. I'm a cell that has no cells, yet I live in solitary places. What am I?","I am called white.  My duty is to protect and destroy.  All it takes is a sneeze and i will destroy. . .  at the sign of a cut, i will come to protect.  I will fight to my death. . .  no matter how insignificant it may be.  I am very helpful yet you can't see me.  What am i?""
"
wind,"I am a creature that can fly, but I can't fly. What am I?","You can feel me but, I can't feel you. I can uproot trees and tear roofs off their houses. Yet, I can make a Baby sleep and be gentle. I can howl and whisper. I can spread and stop fires. I can toss boats and help them glide too. What am I?""
"
fruit,I am a fruit that is ripe and I can be sour. What am I?,"My first is in fish but not in snail,  My second is in rabbit but not in tail.   My third is in up but not in down,  My fourth is in tiara but not in crown.   My fifth is in tree you plainly see,  My whole a food for you and me.   What am I?'
"
pass,I am a word that is used to describe sex. I can be thrown or tossed. What am I?,"In operating, a cycle. In duelling, a thrust. In playing, a throw. In bidding, a decline. In a bar, a try. In racing, a move. In scaling, a way.  QUESTION: What is it?'
"
anus,"I am a creature that is not able to eat. I have no legs, but I can be snared. What am I?","I lie between to circles, What am I?'
"
death,"I am the only thing that can be done without me. I can cause death, but I cannot be felt. What am I?","I am what most people fear, I can strike without warning for I cannot be stopped. Everyday I do things to people that rip apart the hearts of their loved ones. What am I?'
"
penguin,I am a bird that is spelled out in ten letters. I have flies and teddy bears. What am I?,"Always well dressed, but I never fly. Black and white, sometimes in a tie. I swim and slide, and dance and glide, With one person by my side. What am I?'
"
Santa,"I am a symbol of love, and adoration of the world. I can be adorned with sand, moss, or even marrow. What am I?","I make a list and check it twice. I will give you coal if naughty and presents or candy if nice. Who am I?'
"
youtube,"I have a name, but I'm not able to see. I can be found on tv, and on the internet. What am I?","I am king of knowledge , also the king of madness  Who am i ?""
"
pumpkin,I am a fruit that is shaped like sand. I can be sliced and tossed in ice. What am I?,"In September, you pick me when I'm good and ready. In October, you cut me intentionally to make me look worse. In November, you trash me like you never knew me. What am I?""
"
barometer,I am a tool that can measure the speed of sand. I can be used to track the size of the sea. What am I?,"It hangs on the wall and falls on the same time. What is it?'
"
It is a gun.,I am a weapon that can be used to kill people. What am I?,"Long and slinky like a trout, never sings till its guts come out.  What is it?'
"
clouds,"I am a solitary thing, I can be surrounded by clouds, but I cannot be seen. What am I?","I FLY BUT HAVE NO WINGS .  I CRY BUT HAVE NO TEARS.  I SEE DARKNESS COME UP ON THE WORLD .  WHAT AM I'
"
blood,I am a substance that can be found in many places. I can cause harm to many people. What am I?,"With the rich I am blue, with the poor I am red, with the amphibian I am cold but with the dog I am hot instead, what am I?'
"
bath towel,I am a towel that is used to clean the room. What am I?,"Soft As A Petal That Falls Form A Tree.   The More I Dry The Wetter I'll Be.    What Am I? :) :)""
"
A kangaroo.,I am a solitary animal. I can be found in taverns. What am I?,"I stand when I am sitting and I jump when I am walking. What am I?'
"
piano,"I have a head but no head, I can't hear, but I'm able to play. What am I?","I am black and white. I have strings I have keys. I make sound without my lips. I make dough with no flour. What am I?""
"
silence,"I am a word that is used in syllables. I can be used to describe tense, evocative, or even resonant. What am I?","No sooner spoken than broken. What is it?'
"
adrenaline,"I am a substance that can be spelled out, but I can't be used. I have tens of thousands of neurons, and I'm able to be seen in countless ways. What am I?","I am important at the most dangerous times. I can not be seen, heard, or smelled. If you use me too much you would fatally die. What am I?""
"
brain,"I am a part of the body, but I can't see. I have no eyes, yet I'm able to see, I cannot see and see; I don'T have eyes but can see if you can touch me. What am I?","I am the only organ in the human body that gave itself it's own name. What am I?""
"
shirt,I am a shirt that is worn by all. I have sex but I'm not tepid. What am I?,"You enter one hole and leave three, once you succeed I'm on thee? What am I?""
"
snake,I am a snake that is spelled out in the middle of the earth. What am I?,"I am made of sugar and soda but you shouldnt eat me. I hiss and slither but I cannot eat you. What am I?'
"
fire,"I am a thing that can be blown, but I can't be touched. What am I?","Touch this and you'll regret it. But if it's cold, you won't forget it. What is it?""
"
father,"I am a father, but I'm not able to take care of you. I have ten children, yet I can't take them. What am I?","I am your mother's brother's only brother in law. Who am I?""
"
anchor,I am a type of anchor. I can be used to anchor boats. What am I?,"when I am in am unuseful. When i am out I am useful.  what am I??'
"
ice,"I am a liquid that can be thrown, I can't be touched, and I'm not able to move. What am I?","I cannot be burned in fire or drowned in water. What am I?""
"
sadly,I am a word that is often used in syllables. I can be pronounced in many ways. What am I?,"My life is often a volume of grief, your help is needed to turn a new leaf. Stiff is my spine and my body is pale, but I'm always ready to tell a tale. What am I?""
"
fraction,I am a fraction of the world. I can be viewed as ten. What am I?,"Always a part. Never a whole. If only half grows I shrink. What am I?'
"
stable,"I am a place where people live, but I can be slender. I have ten legs, yet I'm not able to walk. What am I?","As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts. What am I?""
"
car,"I have a head but no head, I'm not able to move, but I can move. What am I?","I have a trunk, but I am not an elephant. My tail is silver but I am not a fish. I have one antenna.  What am I?""
"
pupil,"I am a pupil, but I'm not able to see. I can be spelled out, or if you're not careful. What am I?","Different lights make me strange,for each one my size will change.What am I?""
"
money,I am a commodity that can be bought or sold. I can come from many different types of people. What am I?,"I'm hard as a rock, and as light as a feather. I'm passed on to one another. Poor people need me, and rich people have me. What am I?""
"
water wave,"I am a wave that flows through the sky. I can be seen through sand, but I cannot be heard. What am I?","i am as long as well as short as possible  i move as fast as possible i am with my friends every where. who am i?'
"
I am death.,I am the only thing that can be done to the person who died. What am I?,"Some try to hide, some try to cheat; but time will show, we always will meet. What am I?'
"
The mind.,"I am the only thing that can be understood, but I can't be seen. What am I?","I am everything to somone but nothing to everyone else.What am I?""
"
Easter Bunny,"I am a stag, I have ten legs, and I'm surrounded by twigs. What am I?","I hop around hiding eggs. What am I?""
"
A cat.,"I am a cat, but I'm not able to see. I have sex, yet I can't see, I live in tyres, and I don'T have eyes. What am I?","The songs she sings beneath bright moons Disturb my night's repose, But, oh, those whispery, rumbly tunes! She charms us all with those. You must come near and listen well To hear her rumble song. I've told enough so you should tell To whom these songs belong.What is it?""
"
hand,I am a tool that can be used to make sand. I can make you bleed. What am I?,"I can be one, I can be two. I can be Open, Closed, Empty or Full.  I can be Bare, but never a Bear.  What AM I??'
"
fire   your answer is water,"I am a substance that can be used to make fire. I can cause fire, but I cannot be blown. What am I?","I can warm, or cook, or burn, as many through mistake have learned.   But your answer lies not with me, but with that which I fear, that which gives life to the tree.   What am I?  What is your answer?'
"
heart,"I am a thing that can be broken, but I can't be touched. What am I?","If you break me, I'll not stop working.    If you can touch me, my work is done.    If you lose me, you must find me with a ring soon after.    What am I?""
"
elephant,I am a bird that is surrounded by sand. I have ten legs but no legs. What am I?,"At my hind there is a rope.On my head a fan, Beside my mouth are two sharp spears.And my tree-legs are rough on your hands. Beside all this is one great wall.A snake adorns my head at all.times, and it is part of me.And it will always be. What am I?'
"
hang glider,I am a tool that can be used to hang gliders. What am I?,"My first completes a man formed by a word not spelled.My second's not still nor mechanically propelled.With my whole, a wondrous bird's-eye view is beheld. What am I?""
"
air itself,"I am a thing that can be blown, but I can't be touched. What am I?","I follow you everywhere, I am always around you, You cannot get rid of me.  I see all,yet I cannot see or hear.  I am what keeps the world alive, what am I?""
"
key,I am a key that is used to unlock if you have smashed me. What am I?,"What force and strength cannot get through, I with a gentle touch can do. And many in the street would stand, were I not a friend at hand.  What am I?'
"
teabag,"I am a liquid that is used to drink. I can be used for sand, or for tea. What am I?","You put me in dry but then I get wet. The longer I stay in, the stronger it will get.What am I?'
"
number 7 on phone,I am a number that is not in the middle of the day. I have ten letters in it. What am I?,"I am ontop of a star my neighbour is 8 his name is TUV, my god is 4 and my name is PQRS what am I?'
"
turtle,"I am a creature that is solitary, I have no legs, but I can be twirlled. What am I?","A guy always in armor, But never been at war. Sleeps in armor, walks in armor. Slow he is, but heavy is the armor. No sword, no bow, spear. Who is it?'
"
lowercase i,I'm a word that's used in i. I can be found in the middle of t. What am I?,"i am skinny and i am decapitated and H is always trying to get in front of me!(he always is)Who am i?""
"
Steps.,"I am the beginning of a journey, I'm the end of the journey. What am I?","The more of these you take, the more appear behind you.What am I?""
"
The sky.,"I am the only thing that can be seen, but I can't be heard. What am I?","You can see it every day, But cannot touch it at will. What is it?""
"
Mahjong,"I am a king of the land. I have ten legs, and I'm surrounded by tees. What am I?","Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?""
"
human,"I am a human, but I'm not able to see. I can be spelled out, or if you're not, I may be. What am I?","i have one voice.  when im young i walk n 4 when im older i walk on 2 when im young i walk on 3.  im slowest on 3 what am I?""
"
barber.,"I am a person who is able to cut hair. I can cut sand, twigs, and bobs. What am I?","I cut hair every day, but my hair stays the same. Who am I?'
"
stapler,I am a tool that can be used to make sand. I can make holes in tins. What am I?,"With pointed fangs it sits in wait,  With piercing force its doles out fate,  Over bloodless victims proclaiming its might,  Eternally joining in a single bite.   What am I?'
"
The shadows.,"I am the shadow of the sun, I can be seen by many, but I cannot be heard. What am I?","Everywhere it lurks, unsettling men and unnerving children. In a house it visits, in a cave it dwells. One light can put it to flight and make it retreat. Yet you can never escape it, for it is always there. What is it?'
"
A sail.,I am a sail that is slender and curved. I can be twirled and I have ribs. What am I?,"You use me for my name, I'm not a breeze to tame, I'm fastest when I'm full and when it's cheap it sounds the same. You'll spot a nest near me (although I'm not a tree), the sea is fore, the sea is aft, it's all around, you see.  What am I?""
"
flower petals,I am a flower that is shaped like sand. I can be coloured like flowers. What am I?,"I open in the morning and close at night, at love I help decide. He Loves Me.He Loves Me Not.He Loves Me.He Loves Me Not.He Loves Me. What am I?'
"
breathe,I am a word that can be used to describe lungs. I can also be referred to as symphony. What am I?,"I'm lighter than a feather, but even the strongest man can only hold me for a short time. What am I?""
"
A Cat!,"I am a cat, but I'm not able to move. I can be spelled out, yet I have no legs. What am I?","My first is in chocolate but not in ham, my second's in cake and also in jam, my third at tea-time is easily found, my whole is a friend who's often around. What am I?""
"
time  i am time,"I am a time, but I'm not able to be measured. I can be viewed by many, yet I have no time. What am I?","Forward and forward I go, never looking back.  My limit no one knows, more of me do they lack.  Like a river I do flow, and an eagle I fly.   Now can you guess, what am I?""
"
Elsa,"I am a girl who is spelled out in ten letters. I have tensely twisted and curved, but I can't see. What am I?","First letter is e ends a what is it""
"
A birthday candle.,I am a gift that is given to ten children. What am I?,"When it's alive we sing, when it is dead we clap our hands. What is it?""
"
Your Mind.,"I am the only thing you can control, but I can't be seen. What am I?","Everyone has one but also can lose it. What is it?""
"
Chili.,"I am a type of food. I can be sour, hot, cold, and hot. What am I?","I sound like I am very cold, but I am usually served quite warm...even hot. Another fact about me is that I am often quite hot. What am I?'
"
cheat,"I am a word that is used to describe cheats. I can be used in sex, but I cannot be seen. What am I?","""If something is ""chintzy"", what is it?""'
"
eureka moment,"I am a time of joy, I'm surrounded by sand, and I have tens of thousands of people. What am I?","My first comes from a triumphant feeling expressed.My second is a time when one is at one's best.My whole's when a solution becomes manifest. What am I?""
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"As your ideas grow, I shrink. What am I?'
"
candle,"I am a type of candle, I can be used to make sand, and I have ten legs, but I cannot hold twigs. What am I?","I get shorter the more I'm used but I'm not a pencil. I'm made of wax but I'm not a crayon. I can help you see in the dark but I'm not a flashlight. I'm often found on a birthday cake but I'm not icing. What am I?""
"
particles,I am a substance that is dissolved in water. I can be thrown or tossed. What am I?,"Physicists have built devices to move me very fast. My last seven letters can be commonly found in newspapers, magazines, and journals. What am I?'
"
life jacket,I have a neck but no arms. I can be worn by anyone. What am I?,"Without my first, one would have nothing at all.My second may be worn in the spring or fall.My whole ensures water mishaps don't befall. What am I?""
"
joke,"I am a word that is used to describe sex. I can be used in tense, but I cannot be heard. What am I?","You can crack me;  You can make me;  You can tell me;  You can play me.    What am I?'
"
thimble,I am a tadpole that is shaped like sand. I have ribs and legs. What am I?,"An open-ended barrel, I am shaped like a hive. I am filled with the flesh, And the flesh is alive.  What am I?'
"
nose,I am a word that is used to describe sex. I can be thrown or tossed. What am I?,"Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?'
"
A Light Switch.,"I can be seen in the sky, I have no eyes, but I'm not a bird. What am I?","When I point up it's bright, but when I point down it's dark. What am I?""
"
giraffe,I am a giraffe. I have sex and flies. What am I?,"I have four legs but I'm not a chair. I have a long tongue but I'm not a frog. I eat trees but I'm not a koala. I live in Africa but I'm not a lion. I have a long neck but I'm not a bottle. Who am I?""
"
bed,I am a bed that is surrounded by sand. I have ten legs but no legs. What am I?,"You use it everyday, you make it everyday, you have to go to it everyday. What am I?'
"
leg,"I am a leg that is spelled out in tense. I can be twisted, thrown, or tossed. What am I?","I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me every day. What am I?'
"
towl,"I am a word that is used to describe sex. I can be used in tense, fright, or if you are attempting to eat. What am I?","I get wetter and wetter but then dryer.             What am I?'
"
eye,I am a word that can be used to describe sex. I can also be referred to as feisty. What am I?,"I'm a part of your body, and i'm read like one of your alphabeth, what am I ?""
"
guitar,I have a neck but no arms. I can be played with syllables. What am I?,"I have a bridge with no water, and a neck covered in worries. What am I?'
"
gift,I am a gift that you give to someone else. What am I?,"I'm as small as a pea but I'm as big as the sky and I don't belong to the person that purchases me. What am I?""
"
diamond,"I am a diamond, but I'm not able to be sold. What am I?","Under pressure is the only way I work, and by myself is the only way I am hurt. What am I?""
"
stairs,I am a place where people walk. I can be slammed and twisted. What am I?,"I descend and ascend. If you go too fast, you can trip on me but if you go too slow, your destination seems like miles away. What am I?'
"
my mother,"I am a mother, but I'm not able to speak. I have ten children, yet I can't speak to anyone. What am I?","I'm related to you.   I'm really close to you!   I'm your cousins aunt.  Who am I?""
"
fragile,"I am fragile, but I can be fragile. I have no legs, yet I'm a strong man. What am I?","I tell people to be careful when handling boxes. What am I?""
"
Fingers.,"I am a word that is used to describe sex. I can be twisted, or thrown, but I'm not able to move. What am I?","I have four of these, With matching extremities. They can do many things, And hardly ever bring me pain. Unless I stick them with a pin, Or burn them sometimes when... What is it that I can wiggle at will? And use in other means still?""
"
god,I am the god of all things. I'm the creator of everything. What am I?,"I was always in the beginning of time but faded as time passed by. When people use me in a sentence they never forget to use good grammar. When people play dice with me they never win against me but I hate gambling. When people find me they always get a heart of a lion. Who am I?""
"
shield,I am a shield that can be used to shield people. What am I?,"On the battlefield I shudder .Under thrust of mace and sword .A crest emblazoned on my chest .With pride I serve my lord.  Many battles I have seen .On fields of grass and mud .And though I'm scarred from fighting .I've not shed a drop of blood.  What am I?""
"
yardstick,I am a thing that you can use to make shaves. I can be used to eat food. What am I?,"I have three feet, but I cannot walk. What am I?'
"
And drew = ANDREW.,"I am a man who is spelled out in ten letters. I have he, but I'm not. What am I?","As I was walking across the London Bridge, I met a man who drew his hat and drew his cane, and in this riddle, I said his name. What is it?""
"
breath,"I am a thing that can be used to make screams. I can make you laugh, but I cannot make people laugh. What am I?","I am weightless, yet no man can hold me for long. What am I?'
"
balloon,I am a fluttering slender object. I can be thrown or tossed. What am I?,"Blow this thing up nice and big. But do not let it pop. When its filled with helium. It floats up to the top. What is it?'
"
greed,"I am a thing that can be spelled out, but I can't be seen. I'm able to be used to make money, yet I have no money. What am I?","I want everything within sight. The impossible will not flea my plight. I will take it all by any means. To have is my hearts very need. A bottomless pit that nothing will fill. I have even lead humans to kill. What am I?""
"
The Office of the President of the United States.,I am the head of the United States. I have been the president of many countries. What am I?,"I was born in the 18th century, yet still live on today. Appearing on TV when I have something to say. Called everything from ""honest"" to a dirty rotten ""crook"", I used to wear a wig, but have had several looks. I\'ve always had a party, but never disturb the neighbors. I\'ve been shot at many times - major stories for the papers. What am I?'
"
eraser on a pencil,I am a tool that can be used to erase stains. I can also be spelled out to make ice. What am I?,"Although I'm far from the point, I don't make mistakes, I fix yours.  What am I?""
"
yardstick,I am a thing that you can use to make shaves. I can be used to eat food. What am I?,"I have three feet but can't walk; I tell you things but can't talk; Sometimes I bend but I'm mostly straight. I'm like a scale but can't tell your weight. What am I?""
"
cabbage,I am a cabbage that is sown in the middle of the night. What am I?,"It stands on one leg with its heart in its head. What is it?'
"
lock,I am a thing that can be used to lock people. What am I?,"A dagger thrust at my own heart, Dictates the way I'm swayed. Left I stand, and right I yield, To the twisting of the blade. What am I?""
"
towel,I am a towel that is used to dry. I can be used for sand or mud. What am I?,"You use this every day. Many times I would bet. The more that you get dry. The more that it gets wet.What is it?'
"
jargon,I am a jar that is filled with water. I can be used to store food. What am I?,"My first half is a container, & I am language understood by few, if any.   What am I?'
"
troposphere,"I am a planet that has no atmosphere. I have no air, no water, and no clouds. What am I?","My temperature drops about 6.5 degrees Celsius per km. What am I?'
"
pingpong balls,I am a ball that is shaped like ice. I can be made of sand or thrown away. What am I?,"I am served at a table,  In gatherings of two or four.   Served small, white and round.   You'll love some,  And that's part of the fun.   What am I?""
"
I am the birds shadow.,"I am the bird that is not alive, I have no eyes, but I can see. What am I?","I'm the part of the bird that's not in the sky. I can swim in the ocean and yet remain dry. What am I?""
"
cherry,"I am a fruit that is ripe and sour. I can be sliced and cut, but I'm not rotten. What am I?","Squeeze me and I cry tears as red as flesh, but my heart is made of stone. What am I?""
"
gin,I am a drink that is made of gin. I can be used to make sour food. What am I?,"From the beginning of time I can be found.  I can be obtained from the wringing of wet hair.  You can see a reflection of me in the night light.  By mixing ingredients I can be made and engines wouldn't be complete without me.  But you will not find any traces of me in a bottle of water.  What am I?""
"
clown,"I am a clown, I have sex, and I'm frightened. What am I?","I live for lafter   I live for the crowd  without it i am nothing  What am i. . .""
"
Mailbox.,"I have a name, but I'm not able to speak. I can be found in e-mails, and in mails. What am I?","I am a seven letter word containing thousands of letters. What am I?""
"
newspaper,"I am a type of paper. I can be found in tin, paper, or paper; I have ten letters, but I'm not able to read. What am I?","black within and read without,   with four corners round about,   what am I""
"
cloud,"I am a cloud that is not alive, but I can be seen. What am I?","Water on wind; Light, I rescind. What am I?'
"
gravity,"I am a force that can be thrown, but I can't be held. What am I?","The tallest trees fall, at my glorious call, some may resist, but only for so long. What am I?""
"
casket,I have a mouth but no mouth. I can be snared but not thrown. What am I?,"The one who makes sells it  The one who buys it doesn't use it  The one who is using doesn't know he's using it  What is it????????""
"
mobile phone,"I have a head but no head, I can't see you, but I'm able to see your friends. What am I?","It has a face but no eyes. It has a voice but no head. It shortens distances without travel. It fits into the palm of my hand.  What is it?""
"
flower,I am a flower that is shaped like sand. I can be coloured like gold. What am I?,"A thousand colored folds stretch toward the sky, Atop a tender strand, Rising from the land, 'Til killed by maiden's hand, Perhaps a token of love, perhaps to say goodbye.  What am I?""
"
Kart.,"I am a sand castle, I have ten legs, and I can be ridden by tyres. What am I?","I belong in a gallery, but add one letter I belong in a racetrack. What am I?'
"
school bus,"I have a head but no head, I'm not able to walk, but I can walk. What am I?","I'm a type of public transport. Which follows a certain route. The wheels on me go round and round. Of that there should be no doubt. What am I?""
"
letters,"I am a word that is used to describe syllables. I can be used in remembrance, or in writing. What am I?","I Make Up All Literature, But I'm Often Sealed. What Am I?""
"
god,I am the god of all things. I'm the creator of everything. What am I?,"I watch you all the time, but you cant see me.  I've never been spoted, but the world knows I'm there.  I've sent people to death and had people kill over me, but nobody has ever talked to me.  Who am I?""
"
Rasputin,"I am a man who is spelled out in ten letters. I have countless letters in the past, but I never have one. What am I?","Although I'm not an insect, some people found me very difficult to exterminate. They called me something like 'insane priest.' The first half of my name means the same as 'scrape,' & my last three letters are a metal. Who am I?""
"
language,I am a language that is spoken by many. I can be spoken in many different ways. What am I?,"You Use Me Daily Without Knowing. The Only Time You Acknowledge Me Is When You Don't Understand Me. What Am I?""
"
juicy starburst candy,I am a sweet candy that is sweet and sweet. I can be sour and fatty. What am I?,"I come in different colors we each taste different. But all juicy you could say we burst in the stars!!What am I?'
"
candle,"I am a type of candle, I can be used to make sand, and I have ten legs, but I cannot hold twigs. What am I?","When I live I cry, if you don't kill me I'll die. What am I?""
"
A Lock.,I am a weapon that can be used to break if you are not careful. What am I?,"A dagger thrust at my own heart, Dictates the way I'm swayed. Left I stand, and right I yield, To the twisting of the blade. What am I?""
"
hole,"I am a word that is used to describe sand. I can be found in ponds, in caves. What am I?","what is weightless, and colorless. . but when put into a barrel the barrel weighs less.  what am i?'
"
balloon,I am a fluttering slender object. I can be thrown or tossed. What am I?,"I wasn't born a horse, and I never fly. Yet sometimes I still soar, right into the sky. I often contain breath, and yet I never die. Sometimes I am torn, but I never sigh. Often, with ambition, I aspire, and go till I can go no higher. Then, like many men, so great, I sink into a low state. What am I?""
"
trouble,"I am a word that can be used to describe sex. I can cause tense, fright, and i can make you feel bad. What am I?","I am easy to get into but hard to get out of.   What am I?'
"
pancake,I am a pancake that is shaped like ice. I have slender eyes and curved eyes. What am I?,"I can flip as high as you want, And all the children beg for me. I am not good raw, And even worse when burnt. What am I?'
"
your own nose,I am a word that can be used to describe sex. I can also be referred to as'sea'. What am I?,"No matter how smart you are, there is one thing you will always overlook, what is it?""
"
seat belt,I am a belt that is used to hold people in slumber. What am I?,"I save lives on the ground and in the air. What am I?'
"
I am.,"I am a word that is used in syllables. I can be used to describe tyres, but I cannot be seen. What am I?","I am the shortest complete sentence in the English language. What am I?'
"
bmw,"I have a head but no tail, I\'m not able to ride. What am I?","""If you say ""I have a bimmer"", what is it that you own?""'
"
ball,I am a ball that is thrown at the ground. What am I?,"I'm a toy.and a party. I even sound like a cry. What am I?""
"
wind,"I am a creature that can fly, but I can't fly. What am I?","I fly forever, I rest never. What am I?""
"
snake,I am a snake that is spelled out in the middle of the earth. What am I?,"Curtail me thrice, I am a youth; Behead me once, a snake; Complete, I'm often used, in truth, When certain steps you'd take. What Am I?""
"
cave,"I am a place where you can see, but I can't see. I have sand, and I'm surrounded by rocks. What am I?","On my own, I am darkness, a black abyss. But, Life brings me light with its gentle kiss. I am quiet and cold, but warmth I can hold. Alongside beauties and wonders, sights to be told. My surface may be bare, this I'm aware. But, beautiful secrets I am eager to share. My mouth so large, I swallow you whole. To be in my belly is your goal. What may lie within can drive men to sin. Greed and desire, gluttony's kin. For some, I am fear. For others, hope. My perception shaped from life's scope. From the earth I have come, and forever will stay, even if parts of me crumble away. What am I?""
"
Chinese New Year,"I am a year of the year, I'm mainly celebrated in the Chinese New Year. What am I?","The year of the rat, the dog or the boar. On this holiday you'll find dragons, lanterns, and so much more!What is it?""
"
cornucopia,I am a solitary creature that is surrounded by twigs. I have ten legs but no legs. What am I?,"You will need plenty of produce. To fill up this big food horn. Sweet potatoes, pumpkins and gourds. Apples, squashes and some corn. All through November. Your table top I adorn. What am I?'
"
library,"I have a library, but I'm not able to find books. I can be found in symphony, and I am surrounded by books, though I don't have books to read. What am I?","I am the building with number stories. Find me who am I?""
"
French fries,I am a type of fry. I can be made with ketchup. What am I?,"My first, a tongue in Europe found.My second makes a sizzling sound.My whole comes from under the ground. What am I?'
"
odd,I am a word that is not pronounced. I can be spelled. What am I?,"I__ a word that is not even strange. What am I?'
"
lamb,"I am a pig, I have no legs, but I can be spelled out. What am I?","My fleece is white as snow. Everywhere that Mary goes, I go. What am I?'
"
silver,I am a silver that is not rust. I can be coloured or red. What am I?,"To the bold, I am a weapon; To the gallant, I am a pin; To the gracious, I am a service; To the bridesmaid, I am a win. To the traitor, I am a bribe; To the star, I am a screen; To the swift, I am an arrow; To the bride, I am a dream. What am I?'
"
lobster,"I am a solitary animal, I have ten legs, and I'm surrounded by twigs. What am I?","I go into the water black and come out red. What am I?""
"
sponge,I am a sponge that is used to clean the water. What am I?,"I am holy .But not the holy you are thinking about.I am very light .Until the weight of water weighs me down. What am I?'
"
im air,"I am a liquid that can be blown, I can't be touched, and I'm not able to touch. What am I?","tjis is as light as a feather.  Yet nothing can hold it for to long.  what am I?""
"
Bill Weasley,"I am a man who has ten legs. I have four legs, but I'm not able to walk. What am I?","I came to Hogwarts and graduated 1988,I came back at the time of Harry's almost, yet terrible fate.I came in first in a family of nine,I handle money but it's definitely not mine.I've got a fang on a part of my body, long hair is my style,A woman was once staring at me, which was caught by Harry's eye.I took a desk job and that's where my love started,I joined the Order of which cannot be parted.I wear dragon hide on my feet, muggle clothes is what I've got,My charm would outwit anyone, do you think they have not?I respect my family with pride, unlike a dear brother that is so uncool,One quality we share is that we were both Prefects at our dear old school. Who am I?""
"
right,"I am right, but I'm not right. I can be right or wrong. What am I?","I am not visible, tangible, or corrupt. I am genuine, given, and real. It takes three of these to figure out what is left. What am I?""
"
microwave oven,"I am a place where you can eat food. I can be used to make food, but I have no food to spit. What am I?","Invisible energy, awakened when depressed.Just a few simple touches, and I will do the rest. A transformation will take place.within my four walls.I'm very effective; I don't take much time at all. I'm a contrivance.that's designed for your convenience.I can do wonders.given the right ingredients. What am I?""
"
sun,I am a color that is bright and yellow. I can be coloured or red. What am I?,"I am the hottest body in the solar system. I keep everyone warm. What am I?'
"
red square,"I am a square that is red. I have ten letters, but I'm not able to read. What am I?","i am red and square.   what am i?""
"
nothingnothing at all,"I am nothing, but I'm not something. I can be anything, yet I cannot be found. What am I?","What is more powerful than God. .   More evil than the devil. .   Rich people need. .   Poor people have. .   and if you eat it you will surely die??  What am I??""
"
The Horizon.,"I am the only thing that can be seen, but I can't see. What am I?","I am the unreachable boundary, yet the place you wish to go, I run away as you approach. But I am always there. What am I?""
"
picture,"I am a thing that you can see, but you cannot see me. What am I?","You shoot me but I don't die. You hang me but I don't die. What am I?""
"
An X-ray machine.,"I have a head, but I'm not able to see. I can see, yet I cannot see; I am not used to measure, But I do have many eyes. What am I?","Through me, you see through things. What am I?""
"
table,I have a head but no legs. I am surrounded by sand but not by water. What am I?,"I provide cover for games of footsie and taxfree wages. What am I?'
"
dentist,I am a person who is able to see and see. I have ten legs and tees and I can be shaved. What am I?,"I torture children and parents, Many people scream and wail in my presence. Parents drag their kids to me. I am supposed to create smiles, But often there is only a frown. What am I?'
"
secret,I am a word that can be used to describe sex. I can also be referred to as feirce. What am I?,"Born in one, dies in many.Worth a fortune or a penny.Can be good, bad or funny.None of us can't have any. What am I?""
"
goldfish,I am a fish that is spelled out in the middle of the sea. What am I?,"i am orange i have a head and a tale i am not a snake nor a penny.  What am i ?'
"
you,"I am a person who is not able to see, but can see. I can be spelled out, or you can't see me. What am I?","A person that your mother and your father born and not your brother and sister. Who is it?""
"
ghost,"I am a creature that is not alive, but I can be seen. I have no eyes, yet I'm alive. What am I?","When I looked In the lake, I saw my reflection, but yet I disappear from every picture I take. What am I?""
"
