starter,riddle,class
Light.,"I surround you but I'm not clothes. I am everywhere but I don't take up space. I'm not always here, yet you can use a man-made form of me. I can go through glass but the glass will look just the same. What am I?",what am i
I am the moon.,"I am strongest when you see me as round, but I am often viewed in other forms. I lift and drop the sea with my tremendous strength, and a man with a name like 'powerful bicep' was the first to tread on me. What am I?",what am i
I am Troublesome.,Remove some and I will give you trouble. What am I?,what am i
Music.,"I can fill a room with out being seen, for your eyes I do not need. I can be felt, but can never feel; can be heard, but can never hear. I have many thoughts, but never think. I say many things, but never speak. I can tell a story with no words. Through my waves I am heard. I am your life, your love and sad goodbye. I resound in your every laugh and cry. I mark time, and time marks me. The past, present and future, through me you'll see. What am I?",what am i
A piano.,"I can sing, but I can't speak. You can hear me, but I can't hear you. What am I?",what am i
Soap.,"My shape and sizes differ. Every time you dip me in water, I become smaller. What am I?",what am i
Jigsaw puzzle pieces.,"I come in different shapes and sizes. Parts of me are curved, others are straight. You can put me anywhere you like, but there is only one right place for me. What am I?",what am i
I am an hourglass.,Two bodies have I though both joined in one. The more still I stand the quicker I run. What am I?,what am i
The Wind.,"I am invisible, yet everywhere. Yet I am everywhere, I am not active in some places. Sometimes, you can feel me. I can be so strong, I can push you, and even destroy villages and towns. Yet I come unnoticed, you can make me. What am I?",what am i
Water.,"No matter how much rain falls on me, I can't get any wetter. What am I?",what am i
I am the answer to the question.,"I am what you seek, I am only what is right. I am never wrong. I could be short I could be long. What am I?",what am i
Music scales.,"My scale is something that does not weigh in grams, ounces, or pounds. However, I may be heavy or light. What am I?",what am i
"I am dry ice. Dry ice is frozen, solid, carbon dioxide that freezes at −109.2F.  The extreme cold makes it dangerous to handle with bare skin.",I am cold to the touch but yet I burn if held. What am I?,what am i
Your smart phone!,"I can make you smile and frown. Make you laugh, and even make you cry. I can cause crashes, also you use me every day. I can make you dance. Some use me to go to sleep. What am I?",what am i
A lie.,"You can see through me, yet I am not transparent, you can pick holes in me, yet I occupy no space. What am I?",what am i
A wrist.,I keep a watch but I have no eyes. I'm a little less than handy. I can be hairy but I'm not on a head. What am I?,what am i
A star.,"I'm far away from you, but I still shine bright. I sleep at day, I wake up by night. I stay by the moon, but never get close to it. What am I?",what am i
A hurricane.,"I have an eye in the middle of me, but as you see, I cannot see. I am dark and not far away. You don't see me every day. I am not night and I am not bright. I can have twists and water and scares. What am I?",what am i
A punch.,When I get to you I am more painful than you may think. But thankfully I can also make a tasty drink. What am I?,what am i
A Stone.,"Some are Precious, Some are Plain, Some Used for Building, Some Used for Pain. What am I?",what am i
A plane.,I have wings but can't fly alone. I have a tail but don't use it to show emotions. I have a body but don't wear clothes. What am I?,what am i
A Parachute.,"I blossom like a flower, a hindrance I create, and save you from the earth, do not use me too late. What am I?",what am i
The Horizon.,"I am the unreachable boundary, yet the place you wish to go, I run away as you approach. But I am always there. What am I?",what am i
An Emoji!,"I have many, many emotions, but I'm not a physical person. What am I?",what am i
An Ice Cream.,"I scream I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?",what am i
A lamp.,I burn bright but am surrounded by shade. What am I?,what am i
A bat.,I see without seeing. Noise is an ally. What am I?,what am i
Money.,"People need me, but they always give me away.What am I?",what am i
A clock.,"When you take a look at my face, you will not find the number thirteen in any place. What am I?",what am i
Blackboard/chalkboard.,"Dark with white markings, And smooth like a rock. Where learning occurs, I help convey thought. What am I?",what am i
Asteroids.,"Large as a mountain, small as a pea, Endlessly swimming in a waterless sea. What am I?",what am i
A cloud.,"I'm not an airplane, but I can fly through the sky. I'm not a river, but I'm full of water. What am I?",what am i
A footprint.,"Each time you take a step you make one of me, but then you leave me behind. What am I?",what am i
A Bowling ball.,"With three eyes and as black as night, I frequently knock down ten men with a single strike! What am I?",what am i
A glove.,I'm not alive but I have five fingers. What am I?,what am i
Fire.,"Crimson I am born, yellow I dance, ebony I die. What am I?",what am i
Mercury in a thermometer.,"The higher I climb, the hotter I engage, I can not escape my crystal cage.What am I?",what am i
A wall.,I run around cities but never move.What am I?,what am i
Water.,"I can be hot, I can be cold, I can run and I can be still, I can be hard and I can be soft. What am I?",what am i
"A mirror, or a pool of water.","I can trap many different things and colors, ever-changing, not boring. Look closely and you may find yourself also caught in my trap.What am I?",what am i
A Path.,"From house to house I go, sometimes narrow, sometimes wide. And whether there's rain or snow I always stay outside.What am I?",what am i
An egg.,"After I am made,You break me and re-make me.What am I?",what am i
"A ""One Way"" sign!",I always point in the right direction. My instructions are written in black and white. Disobey me and pay the consequences. I will never say more than two words at a time.What am I?,what am i
The morning dew!,"I welcome the day with a show of light, I stealthily came here in the night. I bathe the earthy stuff at dawn, But by noon, alas! I'm gone.What am I?",what am i
Letter E.,"I begin the earth and end the eclipse, I occur in seconds and minutes, but never in a hand although I am in a lifetime. What am I?",what am i
I am a Yawn.,"I herald the darkness which descends on all creatures; You will know my approach by moans and wracked features. I visit the hippo, hyena, and horse, But never go near snails and spiders, of course. I would circle the globe, leaping one to the other, Should all the world's people ever clasp hands together.What am I?",what am i
A shield.,"I'm by nature solitary, scarred by spear and wounded by sword, weary of battle. I frequently see the face of war, and fight hateful enemies; yet I hold no hope of help being brought to me in the battle, before I'm eventually done to death. In the stronghold of the city sharp-edged swords, skilfully forged in the flame by smiths, bite deeply into me. I can but await a more fearsome encounter; it is not for me to discover in the city any of those doctors who heal grievous wounds with roots and herbs. The scars from sword wounds gape wider and wider; death blows are dealt to me by day and by night.What am I?",what am i
Hail.,"I'm done to the chief,And to the king too;A liquid formed to stone,I can hit and hurt you.What am I?",what am i
An Eightball.,Shoot at me a thousand times and I may still survive; one scratch from me and you will find your prospects take a dive.What am I?,what am i
I am a vampire bat.,"I fly without feathers;Sleep when you're awake;I'm not a mosquito and neither a needle,But blood I'm known to take.What am I?",what am i
I'm an onion.,You can take off all of my skin and I will not cry but you will. What am I?,what am i
Glass.,"I can be all colours of the rainbow, Or have no colour at all. Sometimes I'm empty, Sometimes I'm full. What am I?",what am i
Your dreams.,"I come in darkness, but fill the mind with light. I bring enlightenment to some while gripping others in the hand of fear. For me, it can be a journey of inexplicable joy and sorrow. What I will show you will often be unreachable. Journey with me and what you see may haunt you. Journey with me and you may never want to return home. Journey with me and you will never know when it will end. What am I?",what am i
I am a lie.,"I'm sometimes white, and always wrong. I can break a heart and hurt the strong. I can build love and tear it down. I can make a smile, but more often bring a frown.What am I?",what am i
I am a tree.,"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.What am I?",what am i
Diamond.,"I may be hard, I may be rough,Bound in the round to claim a love.What am I?",what am i
A recycling bin.,"I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?",what am i
I am a bee.,"I can spell, yet I have no mouth. I can speak to animals, but can't speak to humans. I am fierce but small.   What am I?",what am i
Skin,"You'll find me all around you;I can be clear but not seen through;If I get cut you can glue me shut, but I can do it too.What am I?",what am i
Sea water.,I'm blue at day and black at night; I do contain some creatures born and died. What am I?,what am i
A mountain.,"It's easy to see me,Not easy to atop me,Clouds hang around me,And people like to slide down me.What am I?",what am i
I am a volcano.,"My thunder rolls beneath me, my lightning flares above. I dust the crust, and when I bust, all I touch will I shove.What am I?",what am i
A rubber ball.,I get thrown in the air and will fall down: I get thrown down and I will rise in the airWhat am I?,what am i
A pencil.,I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go.What am I?,what am i
A Wedding ring.,I'm made for one but meant for two;I can be worn for many years but usually just a few;You won't ever need me unless you say you do.What am I?,what am i
Money!,"People make me, save me, change me, raise me. What am I?",what am i
The Moon.,"Sometimes I am black, sometimes I am white sometimes you can see me at night. I have friends that are with me that are much smaller. Some of you have walked on me but not all. What am I?",what am i
A bank.,"I have branches, but no fruit, trunk or leaves. What am I?",what am i
A secret.,"I am hidden. I am always safe with you, but if you tell me, I am gone. What am I?",what am i
Money.,"I'm hard as a rock, and as light as a feather. I'm passed on to one another. Poor people need me, and rich people have me.What am I?",what am i
A Cat. ( Nine Lives ),"I am one with eight to spare, lest I lose my one. I'm not a number. What am I?",what am i
Your birthday.,"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.What am I?",what am i
A river.,"I have a mouth,  I do not talk, I always run, I never walk.  What am I?",what am i
An echo.,"Many have heard me, but no one has seen me, and I will not speak back until spoken to. What am I?",what am i
Cheese.,"People often cut into me, and although I can be very sharp, I never cut them back. Most people like me, but even if you hate me, just saying my name will make you smile. What am I?",what am i
I'm a soul.,"I cannot be felt, seen or touched;  Yet I can be found in everybody;  My existence is always in debate;  Yet I have my own style of music.  What Am I?",what am i
An Owl.,"My first is in ocean but never in sea, my second's in wasp but never in bee. My third is in glider and also in flight, my whole is a creature that comes out at night.What am I?",what am i
A See-Saw.,"I go up, I go down;I'm the present, I'm the past;My purpose is none other than for my kids to have fun.What am I?",what am i
A peanut.,"A structure with two occupants, sometimes one, rarely three. Break the walls, eat the borders, then throw away me.What am I?",what am i
A pool table.,I'm not pants but I have pockets;I can't dance but I have four legs.I come in different sizes depending on the size of the room.What am I?,what am i
A daisy.,"My head bobs lazily in the sun. You think I'm cute, For my face is yellow, My hair is white, and my body is green. What am I?",what am i
The letter O.,"I'm in the book, but not on any leaf; I'm in the mouth, but not in lip or teeth; I'm in the atmosphere, but never in the air; I wait on every one, but never on a pair; I am with you wherever you may go; And every thing you do I'm sure to know; Though when you did it I should not be there, Yet when 'twas done, you'd find me in the chair. What am I?",what am i
A see-saw,"What goes up, but at the same time goes down, up to the sky and down to the ground, my present tense and my past tense too, lets go for a ride just me and you...what am I?",what am i
An emoji.,I'm on your phone. Sometimes I laugh. Sometimes I cry. I even flip you off from time to time. What am I?,what am i
I am a cloud.,I have no wings but I can fly. I can cry but I have no eyes. What am I?,what am i
Your breath.,"I fly in the air, But I am not always there. I cannot be touched, But I can be felt or held. Think very hard, But if you live near the equator, You may have a tough time seeing me. What am I?",what am i
Twins.,"We both come together,But one comes first.What am I?",what am i
A painted wall.,I have endless make-overs but I never know my look. I can make any dull room bright.What am I?,what am i
A lie.,"I am not as they say, But I am in the way. I'm not the answer to the question, More an alternative suggestion. What am I?",what am i
Chili.,"I sound like I am very cold, but I am usually served quite warm...even hot. Another fact about me is that I am often quite hot. What am I?",what am i
I'm a Sunflower.,I am black of eye and bright of hair. I fast in to the ground and follow my lord as he races around the world.What am I?,what am i
I am an eye.,"I am a window, I am a lamp, I am clouded, I am shining, and I am colored; set in white, I fill with water and overflow. I say much, but I have no words. What am I?",what am i
I am justice!,"I cut through evil like a double-edged sword, And chaos flees at my approach. Balance I single-handedly upraise, Through battles fought with heart and mind, Instead of with my gaze.What am I?",what am i
I am a snail.,"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",what am i
A Rooster.,"My call, I pray, at dawn of day, Shall rest you from your slumber, With job all done, my song all sung, I'll sit on seat of lumber. What am I?",what am i
A bell.,"Round as a button, Deep as a well. If you want me to talk, You must first pull my tail.What am I?",what am i
I am a dream.,"I am a tale in children's minds. I keep their secrets and share them inside. I blur their thoughts into fantasies kept Like a canvas of art or a submarine depth. Though an illusion, occurs every night; I give them a fantasy, I give them a fright. Nor good or bad, but It's interesting to tell.What am I?",what am i
Your heart.,"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you.What am I?",what am i
I am a soul.,"I cannot be felt, seen or touched; Yet I can be found in everybody; My existence is always in debate, Yet I have my own style of music.What Am I?",what am i
Clouds.,"I trap warmth, Spray forth ice and water, and slip through your fingers with easeWhat am I?",what am i
Silence.,I am strong as a rock but can be destroyed with one word. What am I?,what am i
Your nose.,"I can run but cannot walk, everywhere you go I am already there. What am I?",what am i
Your mind.,"What is something that you have but you can't touch, you can change whenever you want and you use it every day but never have seen me? What am I?",what am i
An Elephant.,"Face with a tree, skin like the sea. A great beast I am, yet vermin frightens me.What am I?",what am i
A diary.,"My author's uncertain yet my title's the same, I contain random text yet order's my aim. Read me one day and see my pages are totally bare. Try again another day and the words will be there. I'm not a book of magic although it may sound, I can predict the future, and inside, your life can be found. Move my eye, I become involved in lactic extraction. But that's just a clue, a minor distraction.What am I?",what am i
The letter V.,"I am the center of gravity, hold a capital situation in Vienna, and as I am foremost in every victory, am allowed by all to be invaluable. Though I am invisible, I am clearly seen in the midst of a river. I could name three who are in love with me and have three associates in vice. It is vain that you seek me for I have long been in heaven yet even now lie embalmed in the grave. What am I?",what am i
A Baseball Player.,"I play on a diamond, I play fair, I always get dirty, And then I run home.What am I?",what am i
Freedom.,"People who can't see me never aspire, and people who feel me don't want to lose. I fit for a person, but not for a group. I was born into one's consciousness, and I was repressed into rules and order. If a person wants to get me, he has to abandon the views of others and find his true self. I endure, I don't die forever, because there will always be person willing to follow my trail. What am I?",what am i
Danger.,"You longed for me when I was away, and you were terrified when I came. I free you from boredom and make your blood flow, but also expose your life to the drawbridge. You will have a racing heartbeat, a short breath because of my arrival, and you will feel tired because of my departure. What am I?",what am i
Pen-man-ship.,"I am a word of three syllables, each of which is a word; my first is an article in common use; my second, an animal of uncommon intelligence; my third, though not an animal, is used in carrying burdens. My whole is a useful art. What am I?",what am i
A beehive.,"Golden treasures I contain, guarded by hundreds and thousands. Stored in a labyrinth where no man walks, yet men come often to seize my gold. By smoke, I am overcome and robbed, then left to build my treasure anew.What am I?",what am i
A mirror!,"I am related to the water, but I am not wet. I am related to a shadow, but I am multi-colored. I am an illusion, but I show what is real.What am I?",what am i
Jack-in-the-Box.,"Play my music, if you dare. Turn my crank, although I'm square. Stand back, or get a scare, when you see my surprising glare.What am I?",what am i
Fists.,Made of ten but two are we. Five apart and we are weak. Five together havoc wreak. What am I,what am i
Light.,I bend but I never break. What am I?,what am i
Sand.,"I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?",what am i
An eye.,"You need me to see me,I can be quite pretty;I come in different shades,But no shapes or sizes;What am I?",what am i
Silence.,I leave every time you say my name. What am I?,what am i
Trust.,"To form me, time is the foundation, it's difficult to break me from the outside, but I'll break as long as you touch from the inside. What am I?",what am i
Makeup.,"I cover what's real, hide what is true, but sometimes bring out the courage in you. What am I?",what am i
"I am a bridge, to help you cross.","To cross the water I'm the way, For water I'm above: I touch it not and, truth to say, I neither swim nor move.What am I?",what am i
"I am Silence. You are silent until u speak. When you say silence you break it. Therefore, silence does not exist when you say ""it's"" name.",If you say my name I am no more. What am I?,what am i
A tennis ball.,You serve me but never eat me. What am I?,what am i
A rocking horse.,"I have legs, but won't walkA mouth that will not talkWoodland home, lost to meStabled now, in nurseryMade to move, but must stayYou won't hear me say nay.What am I?",what am i
Darkness.,"My traces are everywhere, day or night. My enemies can drive me away, but they can't kill me,and sometimes, it makes me. I make some people feel fear, others feel serenity. I came when you closed your eyes, I can make you have eyes but not see, but you must not want to leave me forever. I can devour everything. What am I?",what am i
A Zoom meeting.,"I came to prominence in the world during a time of trouble. I brought people together but helped keep them apart. I sound like I should go fast, but I am well known for taking too long to finish. What am I?",what am i
An electric fan.,"I have hands that wave at you, though I never say goodbye. It's cool for you to be with me, especially when I say, ""HI."" What am I?",what am i
Law.,"Where man is, there I amI'm natural, man makes meI'm a shield, a weaponI enchain to releaseA stable foundationThough ever-evolvingMy body is quite vastThough I'm not physicalI have many branchesI'm not a tree or plantNo guesses, you know me nowNo mercy, if you are wrongWhat am I?",what am i
A Vigilante. (Batman is also an acceptable answer),I am a shadow during the night but during the day I'm a well Respected Figure. What am I?,what am i
A bottle of wine.,"Round I start, yet no shape have I. Allow me to breathe, and my life will die. The older I grow, the more sought after I become. You will feel much better when I am done.What am I?",what am i
A weapon!,"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is in arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honour, and also in vows My last will put an end to it all.What am I?",what am i
I am hope.,I can carry many though I have no body; I can often be weak but am hard to kill; I shine brighter than any light but you cannot see me; I sing the sweetest music but you cannot hear me; I can bring warmth to anyone no matter how cold it gets. What am I?,what am i
I'm bored.,"You feel me sometimes, but I never appear in new things. Joy and excitement are definitely my antidote, and sadness and pain are effective ways to drive me away. What am I?",what am i
Appearance.,I'm pleasing to the eye A tool for many absent of mind A tapestry of fickle lies Blind to even the most pensive spies I'm often the breeder of fervent lust But I am by far one you shouldn't trust.What am I?,what am i
A pencil sharpener.,"I'm always hungry,I'll always eat;Turn to feed me,And see I keep my food pointy and neat.What am I?",what am i
A hummingbird,"As small as your thumb, I am light in the air. You may hear me before you see me, but trust that I'm here. What am I?",what am i
"Coconut.  You can eat the coconut meat, drink the coconut milk, and use the coconut husk to start a fire.","I am a thing that you can eat, drink, and use to start a fire. What am I?",what am i
A glove.,Touch me and you touch no more. Use me and it's less of a chore. Stretch me when you're saving a life but leave me if it's warm outside. What am I?,what am i
Death.,"People who want to get rid of me forever, there are dreamers, there are ignorant people; people who are happy to greet me, there are indifferent people, there are crazy people; most people fear me, but I will come eventually. What am I?",what am i
An onion.,"Even if you don't love me, you probably like me a little bit. Your friends probably feel the same way about me, but I might still drive them away if we spend too much time together. I know I've made you cry, but I never meant to hurt you. Anyway, it should be me who cries. You know how thin-skinned I am. Who am I?",who am i
"A noise, remove the ""eye"" aka ""i"" and you get a nose.","Sometimes I am loud and viewed with distaste. Poke out my eye, then I'm on the front of your face. What am I?",what am i
The word Pig.,My first is twice in apple but not once in tart. My second is in liver but not in heart. My third is in giant and also in ghost. Whole I'm best when I am roast.  What am I?,what am i
An inkpen.,"I am the tool, for inspiring many. Buy me in the store, for not much more than a penny. Don't overuse me, or my usefulness will go, what am I? Do you know?",what am i
A Hearth.,"Fire is often maintained above me, and if you remove my first letter, you will find the home shared by everyone you have ever known.What am I?",what am i
An analog clock or watch.,"I have two hands, sometimes three; I have no mouth, but I tell you something. What am I?",what am i
An Hour-glass.,"My first is a part of the day,My last a conductor of light,My whole to take measure of time,Is useful by day and by night.What am I?",what am i
Disguise.,"I can bring power, money, connections, repute, and admiration, but I'm useless in the face of love and friendship. Treat others with me, and you'll avoid heartbreak, but you'll also gain endless loneliness. What am I?",what am i
Kart.,"I belong in a gallery, but add one letter I belong in a racetrack. What am I?",what am i
A stoplight.,"Three eye's have I, all in a row. When red, all freeze.What am I?",what am i
A lazy boy recliner.,"I'm big, I'm comfortable, but most of all I'm oh, so lazy. I have two arms, but only one foot.What am I?",what am i
A sail.,"You use me for my name, I'm not a breeze to tame, I'm fastest when I'm full and when it's cheap it sounds the same. You'll spot a nest near me (although I'm not a tree), the sea is fore, the sea is aft, it's all around, you see.  What am I?",what am i
A Tree.,"I'm alive and I die. When cut, I bleed I do not fear the seasons. I make my home above yet below the land. I'm a friend to man and beastie, yet hunted by both. My bones are always within sight. What am I?",what am i
A Street or Road.,"From house to house he goes, A messenger small and slight. And whether it rains or snows, He sleeps outside at night.What am I?",what am i
I am Earth.,"Stronger than any beast, Rougher than any sea. Steadier than a favorable wind, and of me none shall be free.What am I?",what am i
The moon.,"Very few men have ever been here,But one man has been for thousands of years.What am I?",what am i
A Footstep.,"My second is performed by my first, and, it is thought, a thief by the marks of my whole might be caught.What am I?",what am i
The mind.,I am everything to somone but nothing to everyone else.What am I?,what am i
Gambling.,"I'll take you. I'll take two, once I'm taken by you. You lose. I'm chance, a devil of a dance, climbing a tree, the very next branch. I'm unforgiving, fast-lane living, quite a soul gripping. For once I have you, I won’t leave your mind. And I'm not at all kind. I'll break your home, the bank I'll comb, until you're left with nothing, all alone. The highs and the lows, the deception, and woes, why'd you bet your own toes? I’m greedy, if I’m to be believed, I'm a need that will crush you until you cannot breathe. What am I?",what am i
I Am Paper.,"I am the runner, The pencils the chaser. I eat up the lead, I choke on the eraser. When I am done, I become another one, To be used again. I am white And blank as well. I can be folded, Into a bell. My corners are cut perfectly, My lines are straight and blue. Me having black marks or not, Fully depends on you. What am I?",what am i
A cat.,"Stealthy as a shadow in the dead of night, Cunning but affectionate if given a bite. Never owned but often loved. At my sport considered cruel, But that's because you never know me at all. What am I?",what am i
A ship.,"Weight in my belly, Trees on my back, Nails in my ribs, Feet I do lack. What am I?",what am i
Space.,"I'm behind you, In front of you, And all around. What am I?",what am i
A bed.,"I know a place where fellows go without a shoe or stocking. And no one tells them, ""Go away!"" Or thinks their costume is shocking. Each year I spend much of my time In that delightful place, And while I'm there, they don’t expect a boy to wash his face. What am I?",what am i
The truth.,"I Am Seen As A Liar, When The Situation Is Dire, But The Fruits Of My Labor, Is Enough To Make Anyone Waver. I Can Be Something To Fear, Or Something You Want Near. Any Way You Look At Me, I Am Something That You All Need. What Am I?",what am i
Gone.,I was here and now I’m not. What am I?,what am i
"I am ""hope"".","I'm the motivation to live for some people, the source of pain for some people. Without me, you'll fall into the abyss; with me, you'll have courage. What am I?",what am i
A Treadmill.,"If I'm walking, then I must be running. However, if I'm running, I may be walking.  What am I?",what am i
A Peanut.,"A house with two occupants, sometimes one, rarely three. Break the walls, eat the borders, then throw away me.What am I?",what am i
An arrow,"I'm a killing machine used again and again;I bend a little, but way less than my friend;For many years I was number one,But I've been replaced by my modern son.What am I?",what am i
A (Chain) Reaction.,I can come alone or in a chain. Both are special in their own way. My appearance can be unexpected or expected. What am I?,what am i
I am.,I am the shortest complete sentence in the English language. What am I?,what am i
A peanut.,I'm a seed that's underground. Many like to spread me around. But my family it's said is quite insane. And if you've a low I.Q. you've this kind of brain. Eat me raw and I'll make you sick. Eat too much and your tongue will stick.What am I?,what am i
A mirror.,When you stare at me u see a you in reverse. What am I?,what am i
A padlock.,"I hang around all day and night keeping you safe. I might have only one arm, but it is very strong. Nevertheless, I can defend you and everything you care about without moving a muscle. What am I?",what am i
A swan.,"My dress is tranquil when I tread the earth, or dwell at home, or drift on the water. Sometimes my wings and this wide sky lift me over the dwellings of men, and then strong clouds carry me over the people. My ornaments echo loudly and melodiously, Illustriously sing when I am not near the earth and stream, a sailing spirit.What am I?",what am i
An apple.,"I'm red and I can be green or yellow,what am I?",what am i
sand,"I build up castles.  I tear down mountains.  I make some men blind,  I help others to see.  What am I?",what am i
Haul / Hall,"I'm done to boats, to cargo, to loads;When indoors I'm, in a way, a narrow road.What am I?",what am i
Rotator.,I am a body part. I am same when spelled forward and backward. What am I?,what am i
An artichoke.,"I have a heart that doesn't beat, a mouth that doesn't speak, and a head that doesn't think. What am I?",what am i
Ping-pong balls.,"I am served at a table, In gatherings of two or four. Served small, white and round. You'll love some, And that's part of the fun.What am I?",what am i
Pea,"I am a food,I have only three letters in my name;Leave the first,I still sound the same.What am I?",what am i
"Baldness. (Note that 'death' doesn't fit the last clue. Those who embrace death lose ALL of themselves. Those who shave their head just lose something of themselves. Also, death ALWAYS comes for the old eventually, not just 'often'.)","I am typically feared by both women and men. I often come for the old, but also for some young people who are very ill. Many will fight me in vain, and many others live in denial of me. Those who embrace me will lose their fear of me, but they will lose something of themselves in the process. What am I?",what am i
A donut.,"I am an object. Use fractions to figure this out. If you take away the whole of me, I get bigger. What am I?",what am i
An Actor.,"I talk, but I do not speak my mind I hear words, but I do not listen to thoughts When I wake, all see me When I sleep, all hear me Many heads are on my shoulders Many hands are at my feet The strongest steel cannot break my visage But the softest whisper can destroy me The quietest whimper can be heard. What am I?",what am i
Knowledge.,"I'm never boring, always new and attractive, there is no right or wrong. I guide you to find the meaning of life and give meaning to your life. What am I?",what am i
Soap.,"The more of me you put on, the more you can remove. I come in many forms, but I'm generally liquid up high and solid down below. If you avoid me, I won't care, but others will. What am I?",what am i
"An orange. (Note: orange doesn't rhyme with anything, and it gives sailors vitamin C (a homophone of sea))","How you describe me is what I am. Poets might hate me, but sailors should love me. I can't give them the sea, but only something that sounds like it. What am I?",what am i
I Am The Atomic Bomb.,"I was developed during the Manhattan Project. I was conceived by Einstein, and built by a team led by Robert Oppenheimer, in Los Alamos, New Mexico. I was built in 1942. The U.S. was the first to develop me, with the help of German, Italian, and American scientists. I work by converting mass to energy, by splitting Uranium with Neutrons, which creates fission. This creates an explosion. My explosion is the release of nuclear energy. There are four parts to my explosion 1) the blast wave, 2) the thermal radiation, 3) initial nuclear radiation, and 4) residual nuclear radiation. As a single explosion, I destroyed more lives and property and injured more people, than any other explosion during all of World War II. What am I?",what am i
A net.,"Hold the tail, While I fish for you. What am I?",what am i
Glass.,"Though liquid in nature, don't push me too far; for then I will break, and the damage may scar. What am I?",what am i
"The riddle ""I am round I am sharp I am small I am big I exist then I don't"" is unanswered. Do you know the answer?  If so, click ANSWER  and add your answer in the comments section.","I am round, I am sharp, I am small, I am big, I exist, then I don't. What am I?",what am i
A door!,When you open me I make a sound. When you close me i make a thud. What am I?,what am i
A rope.,"Ten Men's Strength, Ten Men's Length, Ten Men can't break it, Yet a young boy walks off with it What am I?",what am i
I am Soda Pop!,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes.What am I?",what am i
Peanut,"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?",what am i
I am a cherry.,"A red cap on my head, A stone in my throat, you tell me the answer, I'll give you a Groat.What am I?",what am i
"The riddle ""I'm a spy but I have no eye. I bake a nice pie but I have no tongue..."" is unanswered. Do you know the answer?  If so, click ANSWER  and add your answer in the comments section.",I'm a spy but I have no eye. I bake a nice pie but I have no tongue. I float downward but everything goes up. What am I?,what am i
I am lightning.,"I am, in truth, a yellow fork From tables in the sky By inadvertent fingers dropped The awful cutlery. Of mansions never quite disclosed And never quite concealed The apparatus of the dark To ignorance revealed. What am I?",what am i
I am Yule!,"I am a holiday, of course, celebrated in December, I am celebrated until New Year, People who celebrate me are considered Evil by many Religions, what am I?",what am i
Write/Right,"I'm done with a hand, one at a time;A motion to make words, but not to make lines;I'm known as correct, and as a way, in a way;And even if you don't take me away, none of me would be left.What am I?",what am i
Minecraft Blocks.,"I exist, but have no material form. I am made of numbers, but appear square. I build upon other of my own, but do not topple down. I sit still and do nothing, but I'm still useful. What am I?",what am i
A violent storm.,"Which of the men is so prudent and wise as to say who drives me on my path, when I rise up strong, at times severe, powerfully prominent, sometimes vengeful, I travel throughout the land, burn houses. Smoke rises, grey over rooftops. The trees on earth shall be, the violent death of men, when I shake the woods, the flowering forests, fell tall trees, roofed with rain, by the highest powers, driven in my wandering, widely sent; I have on my back what once covered men, body, and soul, both in water. Say who covers me, or how I am called, that bears that burden. What am I?",what am i
A Bible-pressed flower.,"Close to the words of life stay I, But I wither, wane, and dry.What am I?",what am i
I am Apathy!,I am at the beginning of all things. I am at the end of eternity. There is but one path from my beginning to my end. My whole embodies indifference.What am I?,what am i
A straight razor.,"My first is not bent around. My second means ""lift her up"" or ""cut her to the ground.""What am I?",what am i
I am a Piston.,"I have two rings. I move by request. If the mixture is not right, I just sit at rest.What am I?",what am i
Santa's reindeer.,"My name starts with ""rain"" and ends with the first letter of my name. I get mistaken for other things a lot. I am usually present in children's stories. I am usually flying in mid-air too. What am I?",what am i
Iron ore.,"Ripped from my mother's womb, Beaten and burned, I become a blood-thirsty slayer. What am I?",what am i
The figure eight.,"My head and tail both equal are, My middle slender as a bee. Whether I stand on head or heel Is quite the same to you or me. But if my head should be cut off, The matter's true, though passing strange Directly I to nothing change.What Am I?",what am i
A hot water bottle.,I am filled with hotness. I don't mind how hot water is.What am I?,what am i
Read/Reed,"I sound a color,But that's the old me;I grow near the water;I'm what your doing.What am I?",what am i
Wine.,"When young, I am sweet in the sun.When middle-aged, I make you gay.When old, I am valued more than ever.What am I?",what am i
A Chameleon.,"Black and Blue. Red and Green. Yellow and Blue. Green and Grey. I am all colours. You can try to get close to me, but you can't escape my vision. If you get greedy, you will try to take your colours for yourself, but before you know it, I will be eating you for lunch. What am I?",what am i
Screw/Screwdriver.,"One way I'm loose, one way I'm tight;Out with left, in with right.What am I?",what am i
